target,text,text,label
cord ,I charge it at night and skip taking the cord with me because of the good battery life .,I charge it at night and skip taking the MASK with me because of the good battery life .,1
battery life ,I charge it at night and skip taking the cord with me because of the good battery life .,I charge it at night and skip taking the cord with me because of the good MASK .,2
service center ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .","The tech guy then said the MASK does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",0
sales team ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .","The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the MASK , which is the retail shop which I bought my netbook from .",0
tech guy ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .","The MASK then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .",1
quality ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high MASK , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",2
GUI ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer MASK , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",2
applications ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good MASK , is easy to use , and is absolutely gorgeous .",2
use ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to MASK , and is absolutely gorgeous .",2
start up ,Easy to start up and does not overheat as much as other laptops .,Easy to MASK and does not overheat as much as other laptops .,2
features ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the MASK that it offers , like , iChat , Photobooth , garage band and more !",2
iChat ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , MASK , Photobooth , garage band and more !",2
Photobooth ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , iChat , MASK , garage band and more !",2
garage band ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , MASK and more !",2
features ,Great laptop that offers many great features !,Great laptop that offers many great MASK !,2
GUI ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI I , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no MASK I , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",0
screen ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen n all dark , power light steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , MASK n all dark , power light steady , hard drive light steady and not flashing as it usually does .",0
power light ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light t steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , MASK t steady , hard drive light steady and not flashing as it usually does .",1
hard drive ligh ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive ligh ht steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , MASK ht steady and not flashing as it usually does .",0
processor ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .","My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 MASK and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",0
graphics cards ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .","My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual MASK , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",0
battery life ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .","My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer MASK ( of about 2 more hours ) .",2
battery ,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset .,I took it back for an Asus and same thing- blue screen which required me to remove the MASK to reset .,1
rubber enclosure ,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .","In the shop , these MacBooks are encased in a soft MASK - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .",2
edge ,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .","In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor MASK until you buy it , get it home , break the seal and use it ( very clever con ) .",0
