target,text,text,text,label
cord ,I charge it at night and skip taking the cord with me because of the good battery life .,I charge it at night and skip taking the ,with me because of the good battery life .,1
battery life ,I charge it at night and skip taking the cord with me because of the good battery life .,I charge it at night and skip taking the cord with me because of the good ,.,2
service center ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",The tech guy then said the ,"does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",0
sales team ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .",The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ,", which is the retail shop which I bought my netbook from .",0
tech guy ,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .",The ,"then said the service center does not do 1-to-1 exchange and I have to direct my concern to the sales team , which is the retail shop which I bought my netbook from .",1
quality ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",it is of high ,", has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",2
GUI ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer ",", is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",2
applications ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good ",", is easy to use , and is absolutely gorgeous .",2
use ,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .","it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to ",", and is absolutely gorgeous .",2
start up ,Easy to start up and does not overheat as much as other laptops .,Easy to ,and does not overheat as much as other laptops .,2
features ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the ","that it offers , like , iChat , Photobooth , garage band and more !",2
iChat ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , ",", Photobooth , garage band and more !",2
Photobooth ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , iChat , ",", garage band and more !",2
garage band ,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , ",and more !,2
features ,Great laptop that offers many great features !,Great laptop that offers many great ,!,2
GUI ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI I , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no ","I , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",0
screen ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen n all dark , power light steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , ","n all dark , power light steady , hard drive light steady and not flashing as it usually does .",0
power light ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light t steady , hard drive light steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , ","t steady , hard drive light steady and not flashing as it usually does .",1
hard drive ligh ,"Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive ligh ht steady and not flashing as it usually does .","Â One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , ",ht steady and not flashing as it usually does .,0
processor ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 ,"and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",0
graphics cards ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual ,", however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .",0
battery life ,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life ( of about 2 more hours ) .","My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer ",( of about 2 more hours ) .,2
battery ,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset .,I took it back for an Asus and same thing- blue screen which required me to remove the ,to reset .,1
rubber enclosure ,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .","In the shop , these MacBooks are encased in a soft ","- so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .",2
edge ,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .","In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor ","until you buy it , get it home , break the seal and use it ( very clever con ) .",0
multi-touch gestures ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the ",and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .,2
tracking area ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large ",make having an external mouse unnecessary ( unless you 're gaming ) .,2
external mouse ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large tracking area make having an ",unnecessary ( unless you 're gaming ) .,1
gaming ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're ",) .,1
