target,text,textcon,text,label
staff,But the T was so horrible to us .,But the ,was so horrible to us .,0
food,"To be completely fair , the only redeeming factor was the T , which was above average , but could n't make up for all the other deficiencies of Teodora .","To be completely fair , the only redeeming factor was the ",", which was above average , but could n't make up for all the other deficiencies of Teodora .",2
food,"The T is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",The ,"is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",2
kitchen,"The food is uniformly exceptional , with a very capable T which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The food is uniformly exceptional , with a very capable ","which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",2
menu,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the T or not .","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the ",or not .,1
food,"Not only was the T outstanding , but the little 'perks ' were great .",Not only was the ,"outstanding , but the little 'perks ' were great .",2
perks,"Not only was the food outstanding , but the little ' T ' were great .","Not only was the food outstanding , but the little ' ",' were great .,2
orrechiete with sausage and chicken,Our agreed favorite is the T ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the ,( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,2
waiters,Our agreed favorite is the orrechiete with sausage and chicken ( usually the T are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the ,are kind enough to split the dish in half so you get to sample both meats ) .,2
meats,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both T ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both ,) .,1
dish,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the T in half so you get to sample both meats ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the ,in half so you get to sample both meats ) .,1
Bagels,"The T have an outstanding taste with a terrific texture , both chewy yet not gummy .",The ,"have an outstanding taste with a terrific texture , both chewy yet not gummy .",2
food,Nevertheless the T itself is pretty good .,Nevertheless the ,itself is pretty good .,2
songs,"i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese T , black sabbath , jay-z , and daft punk all being played .","i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese ",", black sabbath , jay-z , and daft punk all being played .",1
toast,"They did not have mayonnaise , forgot our T , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our ",", left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
mayonnaise,"They did not have T , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",They did not have ,", forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
bacon,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the T was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the ",was so over cooked it crumbled on the plate when you touched it .,0
cheese,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie T in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie ","in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",1
ingredients,"They did not have mayonnaise , forgot our toast , left out T ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ","( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
plate,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the T when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the ",when you touched it .,1
omelet,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an T ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an ",") , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",1
drinks,"It took half an hour to get our check , which was perfect since we could sit , have T and talk !","It took half an hour to get our check , which was perfect since we could sit , have ",and talk !,1
check,"It took half an hour to get our T , which was perfect since we could sit , have drinks and talk !",It took half an hour to get our ,", which was perfect since we could sit , have drinks and talk !",1
design,The T and atmosphere is just as good .,The ,and atmosphere is just as good .,2
atmosphere,The design and T is just as good .,The design and ,is just as good .,2
cuisine,He has visited Thailand and is quite expert on the T .,He has visited Thailand and is quite expert on the ,.,2
pizza,The T is the best if you like thin crusted pizza .,The ,is the best if you like thin crusted pizza .,2
thin crusted pizza,The pizza is the best if you like T .,The pizza is the best if you like ,.,1
interior decoration,"All the money went into the T , none of it went to the chefs .",All the money went into the ,", none of it went to the chefs .",2
chefs,"All the money went into the interior decoration , none of it went to the T .","All the money went into the interior decoration , none of it went to the ",.,0
seats,The T are uncomfortable if you are sitting against the wall on wooden benches .,The ,are uncomfortable if you are sitting against the wall on wooden benches .,0
seltzer with lime,"I asked for T , no ice .",I asked for ,", no ice .",1
pickles,"Do n't go alone -- -even two people is n't enough for the whole experience , with T and a selection of meats and seafoods .","Do n't go alone -- -even two people is n't enough for the whole experience , with ",and a selection of meats and seafoods .,2
selection of meats and seafoods,"Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a T .","Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a ",.,2
dishes,My suggestion is to eat family style because you 'll want to try the other T .,My suggestion is to eat family style because you 'll want to try the other ,.,1
eat family style,My suggestion is to T because you 'll want to try the other dishes .,My suggestion is to ,because you 'll want to try the other dishes .,2
vibe,"Best of all is the warm T , the owner is super friendly and service is fast .",Best of all is the warm ,", the owner is super friendly and service is fast .",2
owner,"Best of all is the warm vibe , the T is super friendly and service is fast .","Best of all is the warm vibe , the ",is super friendly and service is fast .,2
service,"Best of all is the warm vibe , the owner is super friendly and T is fast .","Best of all is the warm vibe , the owner is super friendly and ",is fast .,2
delivery,Faan 's got a great concept but a little rough on the T .,Faan 's got a great concept but a little rough on the ,.,0
food,"From the incredible T , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",From the incredible ,", to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",2
atmosphere,"From the incredible food , to the warm T , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm ",", to the friendly service , this downtown neighborhood spot does n't miss a beat .",2
service,"From the incredible food , to the warm atmosphere , to the friendly T , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm atmosphere , to the friendly ",", this downtown neighborhood spot does n't miss a beat .",2
food,"Great T at REASONABLE prices , makes for an evening that ca n't be beat !",Great ,"at REASONABLE prices , makes for an evening that ca n't be beat !",2
prices,"Great food at REASONABLE T , makes for an evening that ca n't be beat !",Great food at REASONABLE ,", makes for an evening that ca n't be beat !",2
interior deco,this little place has a cute T r and affordable city prices .,this little place has a cute ,r and affordable city prices .,2
prices,this little place has a cute interior decor and affordable city T .,this little place has a cute interior decor and affordable city ,.,2
wine,Two words : Free T .,Two words : Free ,.,2
price,The T is reasonable although the service is poor .,The ,is reasonable although the service is poor .,2
service,The price is reasonable although the T is poor .,The price is reasonable although the ,is poor .,0
quantity,"The T is also very good , you will come out satisfied .",The ,"is also very good , you will come out satisfied .",2
sushi,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious T lovers , we sat at the sushi bar to be closer to the action .",I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious ,"lovers , we sat at the sushi bar to be closer to the action .",1
sushi bar,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the T to be closer to the action .","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the ",to be closer to the action .,1
fried rice,The T is amazing here .,The ,is amazing here .,2
mussels,"Three courses - choices include excellent T , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",Three courses - choices include excellent ,", puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",2
puff pastry goat cheese,"Three courses - choices include excellent mussels , T and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , ","and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",2
salad with a delicious dressing,"Three courses - choices include excellent mussels , puff pastry goat cheese and T , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and ",", and a hanger steak au poivre that is out of this world .",2
hanger steak au poivre,"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a T that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a ",that is out of this world .,2
courses,"Three T - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",Three ,"- choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",1
indian food,it 's a perfect place to have a amanzing T .,it 's a perfect place to have a amanzing ,.,2
service,The place is so cool and the T is prompt and curtious .,The place is so cool and the ,is prompt and curtious .,2
place,The T is so cool and the service is prompt and curtious .,The ,is so cool and the service is prompt and curtious .,2
broth with noodles,At the end you 're left with a mild T that you can slurp out of a cup .,At the end you 're left with a mild ,that you can slurp out of a cup .,2
meal,I just wonder how you can have such a delicious T for such little money .,I just wonder how you can have such a delicious ,for such little money .,2
money,I just wonder how you can have such a delicious meal for such little T .,I just wonder how you can have such a delicious meal for such little ,.,2
wine list,The T is excellent .,The ,is excellent .,2
Thai food,"Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best T Ive had ( except for my mom 's of course ) .","Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best ",Ive had ( except for my mom 's of course ) .,2
glass of wine,They wouldnt even let me finish my T before offering another .,They wouldnt even let me finish my ,before offering another .,1
specials,"Whem asked , we had to ask more detailed questions so that we knew what the T were .","Whem asked , we had to ask more detailed questions so that we knew what the ",were .,1
lunch,This is a consistently great place to dine for T or dinner .,This is a consistently great place to dine for ,or dinner .,1
dinner,This is a consistently great place to dine for lunch or T .,This is a consistently great place to dine for lunch or ,.,1
dine,This is a consistently great place to T for lunch or dinner .,This is a consistently great place to ,for lunch or dinner .,2
atmosphere,"Nice T , the service was very pleasant and the desert was good .",Nice ,", the service was very pleasant and the desert was good .",2
service,"Nice atmosphere , the T was very pleasant and the desert was good .","Nice atmosphere , the ",was very pleasant and the desert was good .,2
desert,"Nice atmosphere , the service was very pleasant and the T was good .","Nice atmosphere , the service was very pleasant and the ",was good .,2
bar,After really enjoying ourselves at the T we sat down at a table and had dinner .,After really enjoying ourselves at the ,we sat down at a table and had dinner .,2
table,After really enjoying ourselves at the bar we sat down at a T and had dinner .,After really enjoying ourselves at the bar we sat down at a ,and had dinner .,1
dinner,After really enjoying ourselves at the bar we sat down at a table and had T .,After really enjoying ourselves at the bar we sat down at a table and had ,.,1
service,"Fabulous T , fantastic food , and a chilled out atmosphere and environment .",Fabulous ,", fantastic food , and a chilled out atmosphere and environment .",2
food,"Fabulous service , fantastic T , and a chilled out atmosphere and environment .","Fabulous service , fantastic ",", and a chilled out atmosphere and environment .",2
atmosphere,"Fabulous service , fantastic food , and a chilled out T and environment .","Fabulous service , fantastic food , and a chilled out ",and environment .,2
environment,"Fabulous service , fantastic food , and a chilled out atmosphere and T .","Fabulous service , fantastic food , and a chilled out atmosphere and ",.,2
lasagnette appetizer,Try the T .,Try the ,.,2
beer selection,I liked the T !,I liked the ,!,2
food,"Great T , good size menu , great service and an unpretensious setting .",Great ,", good size menu , great service and an unpretensious setting .",2
menu,"Great food , good size T , great service and an unpretensious setting .","Great food , good size ",", great service and an unpretensious setting .",2
service,"Great food , good size menu , great T and an unpretensious setting .","Great food , good size menu , great ",and an unpretensious setting .,2
setting,"Great food , good size menu , great service and an unpretensious T .","Great food , good size menu , great service and an unpretensious ",.,2
dinner,Go here for a romantic T but not for an all out wow dining experience .,Go here for a romantic ,but not for an all out wow dining experience .,2
dining,Go here for a romantic dinner but not for an all out wow T experience .,Go here for a romantic dinner but not for an all out wow ,experience .,2
Dosa,I grew up eating T and have yet to find a place in NY to satisfy my taste buds .,I grew up eating ,and have yet to find a place in NY to satisfy my taste buds .,1
Wine list selection,T is good and wine-by-the-glass was generously filled to the top .,a,is good and wine-by-the-glass was generously filled to the top .,2
wine-by-the-glass,Wine list selection is good and T was generously filled to the top .,Wine list selection is good and ,was generously filled to the top .,2
menu,"With the great variety on the T , I eat here often and never get bored .",With the great variety on the ,", I eat here often and never get bored .",2
menu,The T is very limited - i think we counted 4 or 5 entrees .,The ,is very limited - i think we counted 4 or 5 entrees .,0
entrees,The menu is very limited - i think we counted 4 or 5 T .,The menu is very limited - i think we counted 4 or 5 ,.,0
menu,The T is limited but almost all of the dishes are excellent .,The ,is limited but almost all of the dishes are excellent .,0
