target,text,text,label
staff,But the staff was so horrible to us .,But the MASK was so horrible to us .,0
food,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .","To be completely fair , the only redeeming factor was the MASK , which was above average , but could n't make up for all the other deficiencies of Teodora .",2
food,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The MASK is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",2
kitchen,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The food is uniformly exceptional , with a very capable MASK which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",2
menu,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the MASK or not .",1
food,"Not only was the food outstanding , but the little 'perks ' were great .","Not only was the MASK outstanding , but the little 'perks ' were great .",2
perks,"Not only was the food outstanding , but the little ' perks ' were great .","Not only was the food outstanding , but the little ' MASK ' were great .",2
orrechiete with sausage and chicken,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the MASK ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,2
waiters,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the MASK are kind enough to split the dish in half so you get to sample both meats ) .,2
meats,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both MASK ) .,1
dish,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the MASK in half so you get to sample both meats ) .,1
Bagels,"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .","The MASK have an outstanding taste with a terrific texture , both chewy yet not gummy .",2
food,Nevertheless the food itself is pretty good .,Nevertheless the MASK itself is pretty good .,2
songs,"i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played .","i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese MASK , black sabbath , jay-z , and daft punk all being played .",1
toast,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our MASK , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
mayonnaise,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have MASK , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
bacon,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the MASK was so over cooked it crumbled on the plate when you touched it .",0
cheese,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie MASK in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",1
ingredients,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out MASK ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0
plate,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the MASK when you touched it .",1
omelet,"They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an MASK ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",1
drinks,"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !","It took half an hour to get our check , which was perfect since we could sit , have MASK and talk !",1
check,"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !","It took half an hour to get our MASK , which was perfect since we could sit , have drinks and talk !",1
design,The design and atmosphere is just as good .,The MASK and atmosphere is just as good .,2
atmosphere,The design and atmosphere is just as good .,The design and MASK is just as good .,2
cuisine,He has visited Thailand and is quite expert on the cuisine .,He has visited Thailand and is quite expert on the MASK .,2
pizza,The pizza is the best if you like thin crusted pizza .,The MASK is the best if you like thin crusted pizza .,2
thin crusted pizza,The pizza is the best if you like thin crusted pizza .,The pizza is the best if you like MASK .,1
interior decoration,"All the money went into the interior decoration , none of it went to the chefs .","All the money went into the MASK , none of it went to the chefs .",2
chefs,"All the money went into the interior decoration , none of it went to the chefs .","All the money went into the interior decoration , none of it went to the MASK .",0
seats,The seats are uncomfortable if you are sitting against the wall on wooden benches .,The MASK are uncomfortable if you are sitting against the wall on wooden benches .,0
seltzer with lime,"I asked for seltzer with lime , no ice .","I asked for MASK , no ice .",1
pickles,"Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .","Do n't go alone -- -even two people is n't enough for the whole experience , with MASK and a selection of meats and seafoods .",2
selection of meats and seafoods,"Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .","Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a MASK .",2
dishes,My suggestion is to eat family style because you 'll want to try the other dishes .,My suggestion is to eat family style because you 'll want to try the other MASK .,1
eat family style,My suggestion is to eat family style because you 'll want to try the other dishes .,My suggestion is to MASK because you 'll want to try the other dishes .,2
vibe,"Best of all is the warm vibe , the owner is super friendly and service is fast .","Best of all is the warm MASK , the owner is super friendly and service is fast .",2
owner,"Best of all is the warm vibe , the owner is super friendly and service is fast .","Best of all is the warm vibe , the MASK is super friendly and service is fast .",2
service,"Best of all is the warm vibe , the owner is super friendly and service is fast .","Best of all is the warm vibe , the owner is super friendly and MASK is fast .",2
delivery,Faan 's got a great concept but a little rough on the delivery .,Faan 's got a great concept but a little rough on the MASK .,0
food,"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible MASK , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",2
atmosphere,"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm MASK , to the friendly service , this downtown neighborhood spot does n't miss a beat .",2
service,"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm atmosphere , to the friendly MASK , this downtown neighborhood spot does n't miss a beat .",2
food,"Great food at REASONABLE prices , makes for an evening that ca n't be beat !","Great MASK at REASONABLE prices , makes for an evening that ca n't be beat !",2
prices,"Great food at REASONABLE prices , makes for an evening that ca n't be beat !","Great food at REASONABLE MASK , makes for an evening that ca n't be beat !",2
interior deco,this little place has a cute interior deco r and affordable city prices .,this little place has a cute MASK r and affordable city prices .,2
prices,this little place has a cute interior decor and affordable city prices .,this little place has a cute interior decor and affordable city MASK .,2
wine,Two words : Free wine .,Two words : Free MASK .,2
price,The price is reasonable although the service is poor .,The MASK is reasonable although the service is poor .,2
service,The price is reasonable although the service is poor .,The price is reasonable although the MASK is poor .,0
quantity,"The quantity is also very good , you will come out satisfied .","The MASK is also very good , you will come out satisfied .",2
sushi,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the sushi bar to be closer to the action .","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious MASK lovers , we sat at the sushi bar to be closer to the action .",1
sushi bar,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the sushi bar to be closer to the action .","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the MASK to be closer to the action .",1
fried rice,The fried rice is amazing here .,The MASK is amazing here .,2
mussels,"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent MASK , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",2
